item,input,cached_input,cache_write,output
gpt-5.6-sol,5,0.5,6.25,30
gpt-5.6-terra,2.5,0.25,3.125,15
gpt-5.6-luna,1,0.1,1.25,6
gpt-5.5,5,0.5,-,30
gpt-5.5-pro,30,-,-,180
gpt-5.4,2.5,0.25,-,15
gpt-5.4-mini,0.75,0.075,-,4.5
gpt-5.4-nano,0.2,0.02,-,1.25
gpt-5.4-pro,30,-,-,180
gpt-5.2,1.75,0.175,14,
gpt-5.2-pro,21,-,168,
gpt-5.1,1.25,0.125,10,
gpt-5,1.25,0.125,10,
gpt-5-mini,0.25,0.025,2,
gpt-5-nano,0.05,0.005,0.4,
gpt-5-pro,15,,120,
gpt-4.1,2,0.5,8,
gpt-4.1-mini,0.4,0.1,1.6,
gpt-4.1-nano,0.1,0.025,0.4,
gpt-4o,2.5,1.25,10,
gpt-4o-2024-05-13,5,,15,
gpt-4o-mini,0.15,0.075,0.6,
o1,15,7.5,60,
o1-pro,150,,600,
o3-pro,20,,80,
o3,2,0.5,8,
o4-mini,1.1,0.275,4.4,
o3-mini,1.1,0.55,4.4,
o1-mini,1.1,0.55,4.4,
gpt-4-turbo-2024-04-09,10,,30,
gpt-4-0125-preview,10,,30,
gpt-4-1106-preview,10,,30,
gpt-4-1106-vision-preview,10,,30,
gpt-4-0613,30,,60,
gpt-4-0314,30,,60,
gpt-4-32k,60,,120,
gpt-3.5-turbo,0.5,,1.5,
gpt-3.5-turbo-0125,0.5,,1.5,
gpt-3.5-turbo-1106,1,,2,
gpt-3.5-turbo-0613,1.5,,2,
gpt-3.5-0301,1.5,,2,
gpt-3.5-turbo-instruct,1.5,,2,
gpt-3.5-turbo-16k-0613,3,,4,
davinci-002,2,,2,
babbage-002,0.4,,0.4,
gemini-3.5-flash,1.5,0.15,-,9
gemini-3.1-flash-lite,0.25,0.025,-,1.5
gemini-3.1-pro-preview,2,0.2,-,12



